Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
911 Carrera Cabriolet,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37439,3830.8823529411766,23.0,0.0,0.0,28.6,0.0,0.0,0.0,19.6,24.7,40.8
911 Carrera S Cabriolet,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37440,3830.8823529411766,23.0,0.0,0.0,28.2,0.0,0.0,0.0,19.5,24.6,40.1
911 Carrera S Cabriolet,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37441,3830.8823529411766,24.0,0.0,0.0,28.1,0.0,0.0,0.0,21.7,27.6,39.9
911 Carrera 4,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37442,3830.8823529411766,23.0,0.0,0.0,28.4,0.0,0.0,0.0,19.5,24.6,40.4
911 Carrera 4 Cabriolet,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37443,3830.8823529411766,22.0,0.0,0.0,27.8,0.0,0.0,0.0,19.3,24.3,39.5
911 Carrera 4 Cabriolet,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37444,3830.8823529411766,24.0,0.0,0.0,28.1,0.0,0.0,0.0,21.4,27.2,39.9
911 Carrera 4S,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37445,3830.8823529411766,23.0,0.0,0.0,27.9,0.0,0.0,0.0,19.5,24.6,39.7
911 Carrera 4S,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37446,3830.8823529411766,24.0,0.0,0.0,27.7,0.0,0.0,0.0,21.3,27.0,39.3
911 Carrera 4S Cabriolet,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37447,3830.8823529411766,22.0,0.0,0.0,27.7,0.0,0.0,0.0,19.3,24.3,39.3
911 Targa 4,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37448,3830.8823529411766,22.0,0.0,0.0,27.8,0.0,0.0,0.0,19.3,24.3,39.5
911 Targa 4,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37449,3830.8823529411766,24.0,0.0,0.0,28.1,0.0,0.0,0.0,21.6,27.5,39.9
911 Targa 4S,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37450,3830.8823529411766,22.0,0.0,0.0,27.7,0.0,0.0,0.0,19.3,24.3,39.3
Sonata,Hyundai,2017,ICE,4.0,1.6,Automatic (AM7),37452,3836.5384615384614,31.0,0.0,0.0,36.453,0.0,0.0,0.0,27.739500000000003,36.3,53.4
Forester AWD,Subaru,2017,ICE,4.0,2.5,Automatic (variable gear ratios),37453,3763.8888888888887,28.0,0.0,0.0,31.781,0.0,0.0,0.0,25.717,33.3421,45.7835
911 Carrera Cabriolet,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37458,3830.8823529411766,24.0,0.0,0.0,28.4,0.0,0.0,0.0,21.7,27.6,40.4
911 Carrera S,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37459,3830.8823529411766,24.0,0.0,0.0,28.4,0.0,0.0,0.0,21.8,27.8,40.4
911 Carrera 4,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37460,3830.8823529411766,24.0,0.0,0.0,28.4,0.0,0.0,0.0,22.0,28.0,40.4
Sonata,Hyundai,2017,ICE,4.0,2.0,Automatic (S6),37462,3836.5384615384614,26.0,0.0,0.0,31.0408,0.0,0.0,0.0,22.465500000000002,28.7,44.6
Equinox AWD,Chevrolet,2017,ICE,4.0,2.4,Automatic 6-spd,37464,4250.0,23.0,0.0,0.0,28.2532,0.0,0.0,0.0,20.4176,25.8453,40.1978
Fusion Energi Plug-in Hybrid,Ford,2017,PHEV,4.0,2.0,Automatic (variable gear ratios),37470,3970.833333333333,42.0,0.48,35.0,41.1379,19.96,0.0,0.0,42.5701,59.8,61.3
Huracan,Lamborghini,2017,ICE,10.0,5.2,Automatic (AM-S7),37471,3875.0,17.0,0.0,0.0,20.6311,0.0,0.0,0.0,14.318,17.3,27.0
Huracan 2WD,Lamborghini,2017,ICE,10.0,5.2,Automatic (AM-S7),37472,3875.0,17.0,0.0,0.0,20.6311,0.0,0.0,0.0,14.318,17.3,27.0
Huracan Spyder,Lamborghini,2017,ICE,10.0,5.2,Automatic (AM-S7),37473,3875.0,16.0,0.0,0.0,19.9987,0.0,0.0,0.0,13.9274,17.0,26.4
Huracan Spyder 2WD,Lamborghini,2017,ICE,10.0,5.2,Automatic (AM-S7),37474,3875.0,16.0,0.0,0.0,19.9987,0.0,0.0,0.0,13.9274,17.0,26.4
911 Carrera S,Porsche,2017,ICE,6.0,3.0,Manual 7-spd,37475,3830.8823529411766,23.0,0.0,0.0,28.5101,0.0,0.0,0.0,19.5124,24.6,40.6
911 Carrera 4S Cabriolet,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37476,3830.8823529411766,24.0,0.0,0.0,27.6137,0.0,0.0,0.0,21.4659,27.3,39.2
911 Targa 4S,Porsche,2017,ICE,6.0,3.0,Automatic (AM-S7),37477,3830.8823529411766,24.0,0.0,0.0,27.4851,0.0,0.0,0.0,21.1067,26.8,39.0
86,Toyota,2017,ICE,4.0,2.0,Manual 6-spd,37478,3125.0,24.0,0.0,0.0,28.3824,0.0,0.0,0.0,20.8906,26.5,40.4
Accent,Hyundai,2017,ICE,4.0,1.6,Automatic (S6),37479,2854.1666666666665,30.0,0.0,0.0,36.3862,0.0,0.0,0.0,26.2767,34.1552,53.2893
Accent,Hyundai,2017,ICE,4.0,1.6,Manual 6-spd,37480,2854.1666666666665,31.0,0.0,0.0,37.0588,0.0,0.0,0.0,27.477,35.913,54.4064
XE,Jaguar,2017,ICE,6.0,3.0,Automatic (S8),37481,4140.625,24.0,0.0,0.0,30.034,0.0,0.0,0.0,20.6019,26.1,43.0
XE AWD,Jaguar,2017,ICE,6.0,3.0,Automatic (S8),37482,4140.625,23.0,0.0,0.0,28.7015,0.0,0.0,0.0,19.9494,25.2,40.9
CX-3 2WD,Mazda,2017,ICE,4.0,2.0,Automatic (S6),37483,3187.5,31.0,0.0,0.0,34.0,0.0,0.0,0.0,28.5494,37.5,50.7
CX-3 4WD,Mazda,2017,ICE,4.0,2.0,Automatic (S6),37484,3187.5,29.0,0.0,0.0,31.5415,0.0,0.0,0.0,26.6501,34.7,45.4
Regal,Buick,2017,ICE,4.0,2.0,Automatic (S6),37487,4187.5,24.0,0.0,0.0,29.3376,0.0,0.0,0.0,20.5296,26.0,41.9
Regal,Buick,2017,ICE,4.0,2.4,Automatic (S6),37488,4187.5,23.0,0.0,0.0,30.2233,0.0,0.0,0.0,19.3663,24.4,43.3
XF,Jaguar,2017,ICE,6.0,3.0,Automatic (S8),37490,4375.0,23.0,0.0,0.0,29.401,0.0,0.0,0.0,20.0221,25.3,42.0
