level_0,Model,Make,Year,AdjWeight,match_index,baseModel,displ,cylinders,trany,comb08,combinedUF,combE,highway08,city08,UCity,UHighway,atvType,rangeHwyA,RangeHwy,Range,MFRCode,VehicleID
112.0,CLK320,Mercedes-Benz,2000,3625.0,1910.0,clk-class,3.2,6.0,Automatic 5-spd,21,0.0,0.0,26,18,22.8411,36.7347,ICE,0.0,0.0,0,,112
113.0,CLK430,Mercedes-Benz,2000,3750.0,1912.0,clk-class,4.3,8.0,Automatic 5-spd,19,0.0,0.0,23,16,20.3499,31.5972,ICE,0.0,0.0,0,,113
114.0,Eclipse,Mitsubishi,2000,3441.176470588235,1939.0,eclipse,2.4,4.0,Automatic 4-spd,21,0.0,0.0,25,18,23.1869,35.4732,ICE,0.0,0.0,0,,114
115.0,Eclipse,Mitsubishi,2000,3441.176470588235,1939.0,eclipse,2.4,4.0,Manual 5-spd,23,0.0,0.0,28,20,25.3493,39.1209,ICE,0.0,0.0,0,,115
116.0,Eclipse,Mitsubishi,2000,3441.176470588235,1939.0,eclipse,3.0,6.0,Automatic 4-spd,20,0.0,0.0,25,18,22.3715,34.6154,ICE,0.0,0.0,0,,116
117.0,Eclipse,Mitsubishi,2000,3441.176470588235,1939.0,eclipse,3.0,6.0,Manual 5-spd,21,0.0,0.0,26,18,22.6,36.1,ICE,0.0,0.0,0,,117
118.0,Frontier 2WD,Nissan,2000,3441.176470588235,1939.0,frontier,2.4,4.0,Automatic 4-spd,19,0.0,0.0,22,17,21.81,30.4159,ICE,0.0,0.0,0,,118
119.0,Frontier 2WD,Nissan,2000,3441.176470588235,1939.0,frontier,2.4,4.0,Manual 5-spd,21,0.0,0.0,24,20,24.9178,33.5307,ICE,0.0,0.0,0,,119
120.0,Mirage,Mitsubishi,2000,4500.0,1933.0,mirage,1.5,4.0,Automatic 4-spd,28,0.0,0.0,32,25,31.6232,45.6697,ICE,0.0,0.0,0,,120
121.0,Mirage,Mitsubishi,2000,4500.0,1933.0,mirage,1.5,4.0,Manual 5-spd,31,0.0,0.0,36,28,36.331,50.7772,ICE,0.0,0.0,0,,121
122.0,Mirage,Mitsubishi,2000,4500.0,1933.0,mirage,1.8,4.0,Automatic 4-spd,25,0.0,0.0,30,22,28.4734,41.6734,ICE,0.0,0.0,0,,122
123.0,Mirage,Mitsubishi,2000,4500.0,1933.0,mirage,1.8,4.0,Manual 5-spd,27,0.0,0.0,33,24,30.9093,46.1139,ICE,0.0,0.0,0,,123
124.0,Firebird/Trans Am,Pontiac,2000,3875.0,1842.0,firebird/trans am/formula,3.8,6.0,Automatic 4-spd,20,0.0,0.0,26,17,21.0139,36.9093,ICE,0.0,0.0,0,,124
125.0,Firebird/Trans Am,Pontiac,2000,3875.0,1842.0,firebird/trans am/formula,3.8,6.0,Manual 5-spd,21,0.0,0.0,28,17,21.3894,38.8537,ICE,0.0,0.0,0,,125
126.0,Firebird/Trans Am,Pontiac,2000,3875.0,1842.0,firebird/trans am/formula,5.7,8.0,Automatic 4-spd,18,0.0,0.0,23,15,18.4,32.2,ICE,0.0,0.0,0,,126
127.0,Firebird/Trans Am,Pontiac,2000,3875.0,1842.0,firebird/trans am/formula,5.7,8.0,Manual 6-spd,19,0.0,0.0,25,16,20.1,34.6,ICE,0.0,0.0,0,,127
128.0,Sunfire,Pontiac,2000,3312.5,1861.0,sunfire,2.2,4.0,Automatic 3-spd,22,0.0,0.0,26,20,25.1,36.9,ICE,0.0,0.0,0,,128
