,VehicleID_x,Year_x,MFRCode,Make,Model,Range,RangeHwy,atvType,UHighway,UCity,city08U,highway08U,VehicleID_y,Year_y,CurbWeight
17,45304,2023,KMX,kia,carnival,0,0.0,ICE,36.9558,24.4628,19.4122,26.1648,195,2023.0,4727.0
18,45310,2023,GMX,buick,encore gx awd,0,0.0,ICE,44.6,34.1,26.2388,28.5501,53,2023.0,3258.0
19,45313,2023,HYX,hyundai,santa fe hybrid,0,0.0,HEV,42.5,44.0,33.2328,29.8515,158,2023.0,4227.0
20,45320,2023,ASX,aston martin,db11 v8,0,0.0,ICE,33.8295,22.7207,18.1323,24.1217,19,2023.0,3891.0
21,45329,2023,HYX,genesis,gv60 performance,235,213.3,EV,119.5,141.6,97.0,82.0,139,2023.0,4872.0
22,45338,2023,HNX,acura,integra a-spec,0,0.0,ICE,52.7869,38.1938,29.0149,36.0827,3,2023.0,3146.5
23,45339,2023,HNX,acura,integra a-spec,0,0.0,ICE,53.388,35.4924,26.0,36.4458,3,2023.0,3146.5
24,45343,2023,GMX,chevrolet,camaro,0,0.0,ICE,36.8682,20.2568,16.2971,26.1079,68,2023.0,3940.9122340425533
25,45344,2023,GMX,chevrolet,camaro,0,0.0,ICE,40.1825,23.2702,18.5376,28.2434,68,2023.0,3940.9122340425533
26,45345,2023,GMX,chevrolet,camaro,0,0.0,ICE,43.8,27.4,21.5376,30.0,68,2023.0,3940.9122340425533
27,45346,2023,GMX,chevrolet,camaro,0,0.0,ICE,27.1235,16.9092,13.7554,19.6398,68,2023.0,3940.9122340425533
28,45347,2023,GMX,chevrolet,camaro,0,0.0,ICE,27.0108,15.3054,12.8476,20.9721,68,2023.0,3940.9122340425533
29,45348,2023,GMX,chevrolet,camaro,0,0.0,ICE,33.4,19.6,15.8028,23.8388,68,2023.0,3940.9122340425533
30,45403,2023,GMX,chevrolet,camaro,0,0.0,ICE,40.9857,22.9849,18.3273,28.7561,68,2023.0,3940.9122340425533
31,45975,2023,GMX,chevrolet,camaro,0,0.0,ICE,36.7214,19.6253,16.2107,26.0,68,2023.0,3940.9122340425533
32,45356,2023,KMX,kia,k5,0,0.0,ICE,54.3744,34.8175,26.7305,37.0396,210,2023.0,3515.0
33,45358,2023,KMX,kia,k5,0,0.0,ICE,46.0738,29.6835,23.7569,32.1794,210,2023.0,3515.0
34,45362,2023,HNX,honda,hr-v awd,0,0.0,ICE,43.2328,32.3557,25.0341,30.1809,151,2023.0,3343.0
35,45377,2023,GMX,cadillac,xt5 awd,0,0.0,ICE,35.7267,22.7909,18.1842,25.365,65,2023.0,5350.0
36,45380,2023,GMX,cadillac,xt5 awd,0,0.0,ICE,39.304,27.6381,21.0,27.0,65,2023.0,5350.0
37,45378,2023,GMX,cadillac,xt6 awd,0,0.0,ICE,34.9,22.5,17.9691,24.8246,66,2023.0,4565.0
38,45381,2023,GMX,cadillac,xt6 awd,0,0.0,ICE,39.304,27.6381,21.0,26.0,66,2023.0,4565.0
39,45388,2023,GMX,chevrolet,traverse awd,0,0.0,ICE,35.0939,21.9953,17.0,24.9515,76,2023.0,4655.0
40,45394,2023,MAX,maserati,levante trofeo,0,0.0,ICE,26.36,16.57,13.4955,19.5576,262,2023.0,5070.0
41,45402,2023,VGA,audi,a3 quattro,0,0.0,HEV,49.2,33.8,26.9361,34.694,22,2023.0,3505.0
42,45408,2023,FJX,subaru,outback awd,0,0.0,ICE,46.2435,33.2409,25.6471,32.0676,386,2023.0,3777.0
43,45409,2023,FJX,subaru,outback awd,0,0.0,ICE,41.4,28.2,22.1096,29.0199,386,2023.0,3777.0
44,45410,2023,FJX,subaru,outback wilderness awd,0,0.0,ICE,37.1,27.2,21.3942,26.2583,387,2023.0,3944.0
45,45418,2023,HYX,hyundai,sonata,0,0.0,ICE,53.6804,34.9769,26.8394,36.6221,162,2023.0,3316.0
46,45418,2023,HYX,hyundai,sonata,0,0.0,ICE,53.6804,34.9769,26.8394,36.6221,177,2023.0,3418.548780487805
47,45419,2023,HYX,hyundai,sonata,0,0.0,ICE,54.0,35.0,26.8552,36.8145,162,2023.0,3316.0
48,45419,2023,HYX,hyundai,sonata,0,0.0,ICE,54.0,35.0,26.8552,36.8145,177,2023.0,3418.548780487805
49,45420,2023,HYX,hyundai,sonata,0,0.0,ICE,56.1,36.7,28.0101,38.0722,162,2023.0,3316.0
50,45420,2023,HYX,hyundai,sonata,0,0.0,ICE,56.1,36.7,28.0101,38.0722,177,2023.0,3418.548780487805
51,45439,2023,HYX,hyundai,sonata,0,0.0,ICE,44.6338,28.9354,23.3028,32.5707,162,2023.0,3316.0
52,45439,2023,HYX,hyundai,sonata,0,0.0,ICE,44.6338,28.9354,23.3028,32.5707,177,2023.0,3418.548780487805
53,45422,2023,VGA,volkswagen,taos 4motion,0,0.0,ICE,45.8,32.1,24.8563,31.7913,431,2023.0,3510.0
54,45424,2023,ASX,aston martin,dbs,0,0.0,ICE,30.6398,17.7156,14.3728,22.0071,20,2023.0,4134.0
55,45428,2023,VGA,audi,s3,0,0.0,ICE,44.1,29.1,23.0354,32.2208,33,2023.0,3660.0
56,45446,2023,HNX,acura,mdx awd,0,0.0,ICE,36.0,23.4,18.6331,25.0,4,2023.0,4565.0
57,45447,2023,CRX,alfa romeo,stelvio awd,0,0.0,ICE,40.5499,27.8499,21.8596,28.4782,17,2023.0,4217.0
58,45448,2023,CRX,alfa romeo,stelvio awd,0,0.0,ICE,31.8,21.1,16.9285,22.7798,17,2023.0,4217.0
59,45453,2023,JLX,land rover,range rover velar,0,0.0,ICE,36.904,25.842,20.3848,26.1286,240,2023.0,4380.0
60,45456,2023,HNX,acura,mdx awd type-s,0,0.0,ICE,32.1,22.7,17.0,21.4883,5,2023.0,4776.0
61,45465,2023,FEX,ferrari,f8 spider,0,0.0,ICE,24.9197,17.9004,14.5139,18.1364,92,2023.0,3626.0
62,45466,2023,FEX,ferrari,812 gts,0,0.0,ICE,20.6973,14.6801,12.0313,15.2125,90,2023.0,4045.0
63,45467,2023,FEX,ferrari,812 competizione,0,0.0,ICE,21.3415,14.8905,12.1952,15.6623,88,2023.0,3715.0
64,45468,2023,FEX,ferrari,812 competizione a,0,0.0,ICE,21.9115,14.811,12.1333,16.0512,89,2023.0,3869.0
65,45469,2023,FEX,ferrari,portofino m,0,0.0,ICE,31.9429,20.293,16.3243,22.8747,94,2023.0,3759.0
66,45478,2023,BMX,bmw,m240i xdrive coupe,0,0.0,ICE,46.0932,29.0242,22.6958,31.974,41,2023.0,3871.0
67,45488,2023,BMX,bmw,m4 competition m xdrive convertible,0,0.0,ICE,31.7126,19.3569,15.6194,22.7217,42,2023.0,4326.0
68,45489,2023,FEX,ferrari,roma,0,0.0,ICE,30.9245,20.6242,16.5726,22.197,95,2023.0,3549.0
69,45504,2023,GMX,cadillac,ct4 v awd,0,0.0,ICE,40.6,26.0,20.0,28.0,59,2023.0,3793.0
70,45509,2023,MTX,mitsubishi,mirage g4,0,0.0,ICE,60.402,44.4601,33.1301,40.0,254,2023.0,2203.3513513513512
71,45510,2023,MTX,mitsubishi,mirage g4,0,0.0,ICE,61.6732,47.0504,34.7856,41.3554,254,2023.0,2203.3513513513512
72,45524,2023,GMX,cadillac,ct5 awd,0,0.0,ICE,43.5892,27.4361,21.5635,30.4056,60,2023.0,3998.0
73,45528,2023,GMX,cadillac,ct5 awd,0,0.0,ICE,36.6,23.2,18.4859,25.9337,60,2023.0,3998.0
74,45527,2023,GMX,cadillac,ct5 v,0,0.0,ICE,38.3,23.9,18.0,27.0344,61,2023.0,4266.0
75,45529,2023,GMX,cadillac,ct5 v,0,0.0,ICE,26.3,15.3,12.8021,21.0982,61,2023.0,4266.0
76,45662,2023,GMX,cadillac,ct5 v,0,0.0,ICE,28.6,15.7,13.1126,21.3321,61,2023.0,4266.0
77,45531,2023,HYX,hyundai,sonata hybrid,0,0.0,HEV,67.3,58.5,44.6244,50.8517,160,2023.0,3405.0
78,45536,2023,HYX,hyundai,kona n,0,0.0,ICE,35.8531,24.1154,20.0067,26.9266,173,2023.0,3340.0
79,45541,2023,VGA,audi,sq5,0,0.0,ICE,34.1,23.6,18.7801,24.2996,35,2023.0,4497.0
80,45544,2023,BMX,bmw,x3 xdrive30i,0,0.0,ICE,39.5881,27.0807,21.3085,27.8627,47,2023.0,4149.0
81,45545,2023,BMX,bmw,x3 m40i,0,0.0,HEV,36.8272,27.3462,21.499,26.0813,45,2023.0,4392.0
82,45547,2023,BMX,bmw,x3 m competition,0,0.0,ICE,27.8811,18.4775,14.9532,20.153,44,2023.0,4610.0
83,45548,2023,BMX,bmw,x4 xdrive30i,0,0.0,ICE,39.5881,27.0807,21.3085,27.8627,48,2023.0,4178.0
84,45554,2023,JLX,jaguar,f-pace svr,0,0.0,ICE,29.7137,18.8472,15.1979,21.3781,181,2023.0,4645.0
85,45555,2023,KMX,kia,sorento hybrid awd,0,0.0,HEV,45.3,48.7,35.5763,32.7787,207,2023.0,4255.0
86,45556,2023,MAX,maserati,grecale trofeo,0,0.0,ICE,34.5074,22.1534,17.7124,24.6536,260,2023.0,4634.0
